City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Sitka,US,2020-10-24 01:23:04,57.05,-135.33,41.0,27,75,4.7
209,Mareeba,AU,2020-10-24 01:23:05,-17.0,145.43,89.6,46,85,8.05
210,Alice Springs,AU,2020-10-24 01:22:51,-23.7,133.88,71.6,46,40,5.82
211,Trairi,BR,2020-10-24 01:23:05,-3.28,-39.27,79.29,81,25,11.54
212,Constitucion,CL,2020-10-24 01:21:26,-35.33,-72.42,50.29,82,0,10.25
213,Saldanha,ZA,2020-10-24 01:23:05,-33.01,17.94,60.8,82,9,4.7
214,Prince Rupert,CA,2020-10-24 01:23:05,54.32,-130.32,41.0,44,1,3.36
215,Juan Lacaze,UY,2020-10-24 01:23:05,-34.43,-57.44,63.0,93,52,11.95
216,Guerrero Negro,MX,2020-10-24 01:23:05,27.98,-114.06,68.2,76,0,13.73
217,Keffi,NG,2020-10-24 01:23:05,8.85,7.87,77.0,88,0,2.24
218,Quelimane,MZ,2020-10-24 01:23:06,-17.88,36.89,68.0,94,0,3.36
219,Shihezi,CN,2020-10-24 01:23:06,44.3,86.03,46.15,73,100,7.78
220,Ivankiv,UA,2020-10-24 01:23:06,50.94,29.89,53.6,81,100,2.24
221,Shimoda,JP,2020-10-24 01:23:06,34.67,138.95,69.8,60,20,8.05
222,Gizo,SB,2020-10-24 01:23:06,-8.1,156.84,84.31,69,95,3.91
223,Leeds,GB,2020-10-24 01:22:37,53.8,-1.55,45.0,87,0,11.41
224,Bemidji,US,2020-10-24 01:23:06,47.47,-94.88,23.0,85,40,5.82
225,Mahibadhoo,MV,2020-10-24 01:23:07,3.78,72.97,81.05,81,92,12.59
226,Pontianak,ID,2020-10-24 01:23:07,-0.03,109.33,78.87,88,100,4.25
227,Fare,PF,2020-10-24 01:23:07,-16.7,-151.02,79.95,69,100,9.17
228,Daru,PG,2020-10-24 01:23:07,-9.08,143.21,84.2,71,63,8.46
229,Gent,BE,2020-10-24 01:23:07,51.05,3.72,54.0,79,100,3.0
230,Tarko-Sale,RU,2020-10-24 01:23:07,64.92,77.78,14.22,97,95,8.77
231,Kabare,CD,2020-10-24 01:23:07,-2.47,28.82,60.33,81,100,1.88
232,Teya,RU,2020-10-24 01:23:08,60.38,92.63,23.04,96,34,3.49
233,Ndele,CF,2020-10-24 01:23:08,8.41,20.65,70.68,94,100,2.3
234,Salalah,OM,2020-10-24 01:23:08,17.02,54.09,71.6,28,0,3.36
235,Karratha,AU,2020-10-24 01:23:08,-20.74,116.85,78.94,39,0,10.78
236,Bethel,US,2020-10-24 01:23:08,41.37,-73.41,61.0,97,95,4.03
237,Strezhevoy,RU,2020-10-24 01:23:08,60.73,77.59,17.6,92,90,2.24
238,Olafsvik,IS,2020-10-24 01:23:09,64.89,-23.71,42.94,76,22,13.87
239,Torbay,CA,2020-10-24 01:23:09,47.67,-52.73,37.99,73,20,3.65
240,Vostok,RU,2020-10-24 01:23:09,46.49,135.88,26.31,100,100,12.64
241,Vanavara,RU,2020-10-24 01:23:09,60.34,102.28,31.57,94,100,10.09
242,Wattegama,LK,2020-10-24 01:23:09,6.8,81.48,75.2,100,20,6.93
243,Ilulissat,GL,2020-10-24 01:23:09,69.22,-51.1,21.2,62,95,1.12
244,Pisco,PE,2020-10-24 01:23:09,-13.7,-76.22,62.6,82,0,14.99
245,Tromso,NO,2020-10-24 01:23:09,69.65,18.96,37.4,84,75,24.16
246,Sabang,ID,2020-10-24 01:23:10,5.89,95.32,82.96,72,100,8.1
247,Krasnogorsk,RU,2020-10-24 01:23:10,55.82,37.32,51.8,81,40,13.42
248,Avera,US,2020-10-24 01:23:10,33.19,-82.53,70.0,100,75,5.1
249,College,US,2020-10-24 01:23:10,64.86,-147.8,27.0,79,75,2.75
250,Makakilo City,US,2020-10-24 01:23:10,21.35,-158.09,82.4,69,1,9.17
251,Isangel,VU,2020-10-24 01:23:10,-19.55,169.27,80.6,78,90,5.82
252,Okahandja,NA,2020-10-24 01:23:11,-21.98,16.92,75.2,27,58,2.24
253,Belyy Yar,RU,2020-10-24 01:23:11,53.6,91.39,33.8,100,75,4.47
254,Bredasdorp,ZA,2020-10-24 01:23:11,-34.53,20.04,66.2,93,62,4.7
255,Saint Anthony,US,2020-10-24 01:23:11,45.02,-93.22,35.6,59,90,9.17
256,Yar-Sale,RU,2020-10-24 01:23:11,66.83,70.83,21.24,96,100,8.7
257,Tawang,IN,2020-10-24 01:23:11,27.58,91.87,53.04,71,100,2.37
258,Jizan,SA,2020-10-24 01:23:12,17.33,42.67,80.6,78,2,0.94
259,Phalaborwa,ZA,2020-10-24 01:23:12,-23.94,31.14,66.2,82,0,6.93
260,Hovd,MN,2020-10-24 01:23:12,48.01,91.64,38.08,64,100,5.79
261,Challans,FR,2020-10-24 01:23:12,46.84,-1.87,59.0,93,90,11.41
262,Codrington,AU,2020-10-24 01:23:12,-38.27,141.97,53.65,69,69,18.63
263,Xunchang,CN,2020-10-24 01:23:12,28.45,104.72,63.72,73,100,1.05
264,Talara,PE,2020-10-24 01:23:13,-4.58,-81.27,63.1,87,62,13.18
265,Labuhan,ID,2020-10-24 01:23:13,-6.88,112.21,83.88,70,0,5.12
266,Jumla,NP,2020-10-24 01:23:13,29.27,82.18,44.06,60,0,4.63
267,Alta Floresta,BR,2020-10-24 01:23:13,-9.88,-56.09,72.16,94,100,3.83
268,La Paz,BO,2020-10-24 01:22:50,-16.5,-68.15,42.8,75,75,9.17
269,Beringovskiy,RU,2020-10-24 01:23:13,63.05,179.32,33.75,90,100,22.66
270,Moyale,KE,2020-10-24 01:23:13,3.52,39.06,69.49,77,44,10.89
271,Mlimba,TZ,2020-10-24 01:23:13,-8.8,35.82,74.07,62,25,3.31
272,Kiruna,SE,2020-10-24 01:23:14,67.86,20.23,32.0,93,36,14.99
273,Aanekoski,FI,2020-10-24 01:23:14,62.69,25.82,32.0,97,90,8.05
274,Moindou,NC,2020-10-24 01:23:14,-21.69,165.68,91.4,43,0,14.99
275,Nador,MA,2020-10-24 01:22:02,35.17,-2.93,66.2,63,0,5.82
276,Mokhsogollokh,RU,2020-10-24 01:23:14,61.47,128.92,20.03,92,95,4.43
277,Qasigiannguit,GL,2020-10-24 01:23:14,68.82,-51.19,21.2,62,93,1.12
278,Asau,RO,2020-10-24 01:23:15,46.43,26.4,54.0,100,0,2.24
279,Riyadh,SA,2020-10-24 01:22:33,24.69,46.72,60.8,31,0,2.24
280,Bay Roberts,CA,2020-10-24 01:23:15,47.6,-53.26,37.99,93,0,1.01
281,Port Hedland,AU,2020-10-24 01:23:15,-20.32,118.57,84.2,58,0,12.75
282,Coquimbo,CL,2020-10-24 01:22:07,-29.95,-71.34,53.6,87,37,3.36
283,Buala,SB,2020-10-24 01:23:15,-8.14,159.59,87.03,63,52,5.82
284,Carnarvon,AU,2020-10-24 01:23:15,-24.87,113.63,77.0,53,0,19.46
285,Bonthe,SL,2020-10-24 01:23:16,7.53,-12.51,78.55,85,87,2.82
286,Beloha,MG,2020-10-24 01:23:16,-25.17,45.05,69.46,78,100,9.04
287,Bengkulu,ID,2020-10-24 01:23:16,-3.8,102.27,77.77,86,100,3.36
288,Merauke,ID,2020-10-24 01:23:16,-8.47,140.33,86.7,63,29,4.76
289,Panji,ID,2020-10-24 01:23:16,-7.73,114.1,88.36,53,57,0.94
290,Fria,GN,2020-10-24 01:23:16,10.42,-13.58,72.05,96,1,1.74
291,Beverley,GB,2020-10-24 01:23:16,53.85,-0.42,44.01,87,64,5.82
292,Muros,ES,2020-10-24 01:23:17,42.78,-9.06,61.0,82,100,20.0
293,Yacuiba,BO,2020-10-24 01:23:17,-22.04,-63.68,79.52,49,15,2.89
294,Nsanje,MW,2020-10-24 01:23:17,-16.92,35.26,67.71,89,0,1.83
295,Ketchikan,US,2020-10-24 01:22:03,55.34,-131.65,44.6,26,1,5.82
296,Mach,PK,2020-10-24 01:23:17,29.86,67.33,58.19,32,0,11.95
297,Broome,US,2020-10-24 01:23:17,42.25,-75.83,64.99,77,20,9.17
298,Atar,MR,2020-10-24 01:18:19,20.52,-13.05,85.1,26,97,10.36
299,San Jose,US,2020-10-24 01:21:31,37.34,-121.89,68.0,63,20,11.41
300,Kismayo,SO,2020-10-24 01:23:18,-0.36,42.55,79.72,82,37,15.03
301,Aiken,US,2020-10-24 01:23:18,33.58,-81.6,70.0,82,1,3.36
302,Jalu,LY,2020-10-24 01:23:18,29.03,21.55,64.2,79,0,11.95
303,Iringa,TZ,2020-10-24 01:23:18,-7.77,35.7,58.37,86,99,6.15
304,Betanzos,ES,2020-10-24 01:23:18,43.28,-8.21,59.0,87,40,13.87
